species;accession;code;incubator;petridish;mgr;syn
Kobresia myosuroides;130921-03;130921-03;Fellfield;2;;
Kobresia myosuroides;130921-03;130921-03;Fellfield;3;;
Kobresia myosuroides;130921-03;130921-03;Fellfield;4;;
Kobresia myosuroides;130921-03;130921-03;Snowbed;1;;
Kobresia myosuroides;130921-03;130921-03;Snowbed;2;;
Kobresia myosuroides;130921-03;130921-03;Snowbed;3;;
Kobresia myosuroides;130921-03;130921-03;Snowbed;4;;
Kobresia myosuroides;130921-03;130921-03b;Fellfield;5;;
Kobresia myosuroides;130921-03;130921-03b;Fellfield;6;;
Kobresia myosuroides;130921-03;130921-03b;Snowbed;5;;
Kobresia myosuroides;130921-03;130921-03b;Snowbed;6;;
Koeleria vallesiana;300821-02;300821-02;Fellfield;1;0.0625;1
Koeleria vallesiana;300821-02;300821-02;Fellfield;2;0.055865922;0.8105263
Koeleria vallesiana;300821-02;300821-02;Fellfield;3;0.0625;1
Koeleria vallesiana;300821-02;300821-02;Fellfield;4;0.0625;1
Koeleria vallesiana;300821-02;300821-02;Snowbed;1;0.017881706;0.5897436
Koeleria vallesiana;300821-02;300821-02;Snowbed;2;0.014739229;0.474359
Koeleria vallesiana;300821-02;300821-02;Snowbed;3;0.020378457;0.8571429
Koeleria vallesiana;300821-02;300821-02;Snowbed;4;0.009313155;0.25
Koeleria vallesiana;300821-02;300821-02b;Fellfield;5;0.005136986;0.5047619
Koeleria vallesiana;300821-02;300821-02b;Fellfield;6;0.004553554;0.4743083
Koeleria vallesiana;300821-02;300821-02b;Snowbed;5;0.004216983;0.8225108
Koeleria vallesiana;300821-02;300821-02b;Snowbed;6;0.004048583;0.4380952
Koeleria vallesiana;310821-09;310821-09;Fellfield;1;0.030181087;0.4380952
Koeleria vallesiana;310821-09;310821-09;Fellfield;2;0.030588235;0.5384615
Koeleria vallesiana;310821-09;310821-09;Fellfield;3;0.034220532;0.4771242
Koeleria vallesiana;310821-09;310821-09;Fellfield;4;0.03875969;0.6631579
Koeleria vallesiana;310821-09;310821-09;Snowbed;1;0.009151922;0.247619
Koeleria vallesiana;310821-09;310821-09;Snowbed;2;0.014977974;0.4044118
Koeleria vallesiana;310821-09;310821-09;Snowbed;3;0.019911504;0.6143791
Koeleria vallesiana;310821-09;310821-09;Snowbed;4;0.009082218;0.2748538
Koeleria vallesiana;310821-09;310821-09b;Fellfield;5;0.004723347;0.4380952
Koeleria vallesiana;310821-09;310821-09b;Fellfield;6;0.004742268;0.4743083
Koeleria vallesiana;310821-09;310821-09b;Snowbed;5;0.003691334;0.1095238
Koeleria vallesiana;310821-09;310821-09b;Snowbed;6;0.003854915;0.1731602
